Pascals--Inches (Hg)--,Altitude--meters--,Temperature--*C--,Millis()
28.18,524.31,23.06,0
28.19,524,23.12,1
28.19,524.25,23.12,2
28.19,523.88,23.12,3
28.19,523.81,23.12,4
28.19,524.38,23.12,5
28.19,523.75,23.12,5
28.19,523.56,23.12,6
28.19,523.62,23.12,7
28.19,523.5,23.12,8
28.19,523.38,23.12,9
28.19,523.19,23.12,10
28.19,523.31,23.12,10
28.19,523.12,23.12,11
28.19,523.56,23.12,12
28.19,523.5,23.12,13
28.19,523.5,23.12,14
28.19,523.56,23.12,14
28.19,523.25,23.12,15
28.19,523.94,23.12,16
28.19,523.81,23.12,17
28.19,523.94,23.12,18
28.19,524.19,23.12,19
28.19,524.25,23.12,19
28.19,524.5,23.06,20
28.19,523.94,23.12,21
28.19,523.69,23.12,22
28.19,524.44,23.06,23
28.19,524.19,23.06,24
28.19,524.56,23.06,24
28.19,524.19,23.06,25
28.19,524.25,23.06,26
28.18,524.62,23,27
28.18,524.38,23,28
28.19,523.69,23,29
28.19,523.44,23,29
28.19,523.94,23,30
28.19,524.19,23,31
28.19,524.31,22.94,32
28.18,524.5,22.94,33
28.18,524.06,22.94,34
28.19,524.06,22.94,34
28.19,524.12,22.94,35
28.19,524.44,22.94,36
28.18,524.25,22.94,37
28.18,524.38,22.88,38
28.19,524.25,22.94,38
28.18,524.69,22.88,39
28.18,524.5,22.88,40
28.19,524.38,22.88,41
28.18,524.88,22.88,42
28.18,524.75,22.88,43
28.18,524.38,22.88,43
28.19,524.38,22.88,44
28.19,524.06,22.88,45
28.18,526.12,22.88,46
28.17,530.38,22.81,47
28.16,530,22.81,48
28.16,533,22.69,48
28.15,536.25,22.62,49
28.14,539.56,22.56,50
28.13,543,22.5,51
28.11,547.31,22.38,52
28.1,549.19,22.31,53
28.1,550.5,22.19,53
28.09,553.31,22.12,54
28.08,557.25,22,55
28.07,559.38,21.88,56
28.06,561.81,21.75,57
28.06,564.12,21.69,57
28.05,567.25,21.56,58
28.03,570.44,21.44,59
28.02,571.88,21.31,60
28.03,568.56,21.25,61
28.04,568.06,21.12,62
28.04,568.94,21,62
28.03,569.38,20.94,63
28.03,571.44,20.81,64
28.03,571.69,20.69,65
28.02,572.38,20.62,66
28.02,573.62,20.5,67
28.02,572.06,20.44,67
28.03,572.25,20.38,68
28.02,572.19,20.25,69
28.02,572.06,20.19,70
28.02,573.25,20.06,71
28.02,575.38,20,72
28.01,579.25,19.94,72
27.99,582.5,19.88,73
27.99,584.31,19.81,74
27.98,584.44,19.75,75
27.98,583.25,19.69,76
27.99,583.69,19.56,77
27.98,584.62,19.5,77
27.98,584.88,19.44,78
27.98,586.5,19.31,79
27.97,588.06,19.25,80
27.97,587.56,19.19,81
27.97,587.38,19.12,81
27.97,587.62,19.06,82
27.97,589.56,19.06,83
27.96,592.19,19,84
27.95,594.88,18.94,85
27.95,593.81,18.88,86
27.96,591.19,18.88,86
27.96,590.25,18.81,87
27.96,590.25,18.81,88
27.97,588.06,18.75,89
27.97,585.56,18.69,90
27.98,585.06,18.62,91
27.98,585.25,18.56,91
27.98,584.75,18.56,92
27.98,585.75,18.5,93
27.98,585.69,18.5,94
27.98,584.69,18.44,95
27.99,583.31,18.38,96
27.99,582.31,18.38,96
27.99,582.62,18.38,97
27.99,584.31,18.31,98
27.98,587.25,18.31,99
27.97,588.88,18.31,100
27.97,587.38,18.25,101
27.97,587,18.25,101
27.97,589.56,18.19,102
27.96,591.69,18.19,103
27.95,593.31,18.19,104
27.95,594.06,18.12,105
27.95,594.12,18.06,105
27.95,592.56,18.06,106
27.96,591.19,18.06,107
27.96,590.94,18,108
27.96,590.25,18,109
27.96,590.69,17.94,110
27.96,591,17.94,110
27.96,590.94,17.94,111
27.96,590.62,17.94,112
27.96,591.12,17.94,113
27.96,592.44,17.88,114
27.95,591.94,17.88,115
27.96,590.62,17.88,115
27.96,590.44,17.81,116
27.96,590.56,17.81,117
27.96,591.06,17.81,118
27.96,593.56,17.75,119
27.95,595.38,17.75,120
27.94,596.56,17.75,120
27.94,597.81,17.75,121
27.94,598.19,17.69,122
27.94,597.5,17.69,123
27.94,596.75,17.69,124
27.94,596.38,17.69,124
27.94,598.19,17.69,125
27.93,598.88,17.69,126
27.94,597.25,17.69,127
27.94,596.88,17.69,128
27.94,595.5,17.69,129
27.95,593.75,17.62,129
27.95,590.44,17.69,130
27.97,587,17.62,131
27.98,583,17.62,132
27.99,580.75,17.62,133
28,579.69,17.62,134
28,578.81,17.62,134
28,579.62,17.62,135
28,580.94,17.56,136
27.99,582.5,17.56,137
27.99,581.38,17.62,138
28,578.44,17.56,139
28.01,575.12,17.56,139
28.02,575.44,17.56,140
28.01,577.06,17.56,141
28,578.88,17.56,142
28,577.19,17.56,143
28.01,575,17.5,144
28.02,573.19,17.56,144
28.02,573.75,17.56,145
28.01,575.81,17.5,146
28.01,577.56,17.5,147
28,577.88,17.5,148
28.01,577.62,17.5,148
28.01,578.19,17.5,149
28,580.25,17.5,150
27.99,582.94,17.5,151
27.98,584.88,17.5,152
27.98,585.06,17.5,153
27.99,582.44,17.5,153
27.99,581.38,17.5,154
27.99,580.69,17.5,155
28,579.75,17.5,156
28,578.62,17.5,157
28,578.75,17.5,158
28,577.94,17.5,158
28.01,577.44,17.5,159
28,577.69,17.56,160
28,578.06,17.5,161
28,578.06,17.56,162
28,578,17.56,163
28,577.69,17.56,163
28.01,576.38,17.56,164
28.01,573.44,17.56,165
28.02,571.81,17.56,166
28.02,573.75,17.56,167
28.02,575.69,17.56,168
28.01,576.25,17.56,168
28.01,574.81,17.56,169
28.02,574.88,17.56,170
28.01,576.75,17.56,171
28.01,579.12,17.56,172
28,581.5,17.56,172
27.99,582.06,17.56,173
27.99,581.62,17.56,174
27.99,581.88,17.56,175
27.99,581.94,17.56,176
27.99,581.88,17.5,177
27.99,582,17.5,177
27.99,583.12,17.5,178
27.98,584.06,17.5,179
27.98,584.31,17.5,180
27.98,584.12,17.5,181
27.98,583.19,17.5,182
27.99,583,17.5,182
27.99,584.19,17.44,183
27.98,584.12,17.5,184
27.98,584.88,17.5,185
27.98,585.44,17.5,186
27.98,586.81,17.44,187
27.97,587.19,17.44,187
27.97,586.62,17.44,188
27.98,585.12,17.44,189
27.98,585.38,17.44,190
27.98,587.25,17.44,191
27.97,589.31,17.44,191
27.97,590.19,17.44,192
27.96,591.19,17.44,193
27.96,591.06,17.44,194
27.96,589.81,17.44,195
27.96,590.44,17.44,196
27.96,592.38,17.5,196
27.95,593.69,17.5,197
27.95,593.62,17.5,198
27.95,594,17.44,199
27.95,594.31,17.44,200
27.95,594.19,17.44,201
27.95,593.06,17.44,201
27.96,591.19,17.44,202
27.96,589.44,17.5,203
27.97,589.5,17.5,204
27.96,589.12,17.5,205
27.97,589,17.44,206
27.97,588.44,17.44,206
27.97,587.19,17.5,207
27.97,588.56,17.44,208
27.97,590.56,17.44,209
27.96,591.06,17.44,210
27.96,590,17.44,211
27.97,587.69,17.44,211
27.98,584.06,17.44,212
27.99,581.62,17.38,213
27.99,580.75,17.38,214
28,580.94,17.38,215
27.99,583.25,17.38,216
27.99,582.88,17.38,216
27.99,580.69,17.38,217
28,579.06,17.38,218
28,578.31,17.38,219
28,578.38,17.38,220
28,578.56,17.44,221
28,578.75,17.38,221
28,576.88,17.38,222
28.01,575.12,17.38,223
28.02,570.5,17.38,224
28.04,566.38,17.44,225
28.05,565.44,17.38,226
28.05,567.19,17.38,226
28.04,568.69,17.38,227
28.04,568.06,17.38,228
28.04,566.25,17.38,229
28.05,563.81,17.44,230
28.06,560.25,17.44,231
28.07,557.06,17.44,231
28.07,558.31,17.44,232
28.07,559.12,17.44,233
28.07,558.56,17.44,234
28.07,557.44,17.38,235
28.08,555.5,17.44,235
28.08,556,17.38,236
28.08,556.12,17.38,237
28.08,555.44,17.38,238
28.08,553.88,17.44,239
28.09,552.62,17.38,240
28.09,551.12,17.44,240
28.1,550.12,17.44,241
28.1,548.12,17.44,242
28.11,546.75,17.44,243
28.11,545,17.44,244
28.12,543,17.5,245
28.13,541.31,17.5,245
28.13,539.69,17.5,246
28.14,538.5,17.5,247
28.14,537.62,17.5,248
28.14,536,17.5,249
28.15,534.12,17.5,250
28.15,532.44,17.5,250
28.16,532.06,17.56,251
28.16,531.62,17.56,252
28.16,530.88,17.56,253
28.17,529.19,17.56,254
28.17,527.81,17.62,255
28.17,526.81,17.62,255
28.18,527.06,17.62,256
28.18,526.12,17.69,257
28.18,526.12,17.69,258
28.18,526,17.69,259
28.18,526.38,17.69,260
28.18,526.12,17.69,260
28.18,526.25,17.69,261
28.18,526.44,17.69,262
28.18,526.94,17.69,263
28.18,526.56,17.75,264
28.18,526.81,17.69,265
28.18,526.25,17.75,265
28.18,525.88,17.75,266
28.18,525.69,17.81,267
28.18,526.19,17.75,268
28.18,526.12,17.81,269
28.18,525.69,17.81,270
28.18,526.69,17.75,270
28.18,526.25,17.81,271
28.18,525.75,17.81,272
28.18,526.12,17.81,273
28.18,525.62,17.88,274
28.18,525.94,17.88,275
28.18,526.06,17.88,275
28.18,525.44,17.88,276
28.18,526,17.88,277
28.18,525.81,17.88,278
28.18,525.75,17.88,279
28.18,526.5,17.88,279
28.18,525.5,17.94,280
28.18,525.81,17.94,281
28.18,525.5,17.94,282
28.18,525.5,17.94,283
28.18,525.62,17.94,284
28.18,526.06,17.94,284
28.18,525.19,18,285
28.18,525.31,18,286
28.18,525.5,18,287
28.18,525.31,18,288
28.18,525.12,18.06,289
28.18,525.38,18.06,289
28.18,525.5,18.06,290
28.18,525.44,18.06,291
28.18,525.56,18.06,292
28.18,525.25,18.06,293
28.18,525.38,18.06,294
28.18,525.31,18.06,294
28.18,525.75,18.06,295
28.18,525.62,18.06,296
28.18,525.94,18.06,297
28.18,526.12,18.06,298
28.18,525.88,18.12,299
28.18,525.31,18.12,299
28.18,525.5,18.12,300
28.18,525.56,18.12,301
28.18,524.88,18.19,302
28.18,524.94,18.19,303
28.18,525,18.19,304
28.18,524.88,18.25,304
28.18,524.69,18.25,305
28.18,524.75,18.25,306
28.18,524.81,18.25,307
28.18,524.75,18.25,308
28.18,524.69,18.31,309
28.18,524.94,18.31,309
28.18,524.81,18.31,310
28.18,525.06,18.31,311
28.18,526,18.31,312
28.18,526.25,18.31,313
28.18,526.69,18.31,314
28.18,526.62,18.38,314
28.18,526.69,18.38,315
28.18,526.69,18.38,316
28.18,526.5,18.38,317
28.18,526.81,18.38,318
28.18,526.88,18.38,319
28.18,526.56,18.44,319
28.18,526.75,18.44,320
28.18,526.44,18.44,321